//===== rAthena Script =======================================
//= Izlude Warp Script
//===== By: ==================================================
//= Athena (1.0), Nana (1.1)
//===== Current Version: =====================================
//= 1.4
//===== Compatible With: =====================================
//= rAthena Project
//===== Description: =========================================
//= Warp Points for Izlude
//===== Additional Comments: =================================
//= 1.3 Added warps to Izlude Airship [Justin84]
//= 1.4 Minor correction on airport warps
//============================================================

//= Izlude City ==============================================
//izlude,109,151,0	warp	iz01	3,3,izlude_in,65,87
//izlude,148,148,0	warp	iz02	2,2,izlude_in,116,49
//izlude,216,129,0	warp	iz03	3,2,izlude_in,151,127
//izlude,30,78,0	warp	iz001	3,3,prt_fild08,367,212
//izlude,52,140,0	warp	iz04	2,2,izlude_in,74,161
//izlude_in,108,169,0	warp	iz05	2,3,izlude_in,84,169
//izlude_in,116,46,0	warp	iz02-1	3,2,izlude,145,145
//izlude_in,148,127,0	warp	iz03-1	2,5,izlude,212,129
//izlude_in,171,97,0	warp	iz06	3,2,izlude_in,172,119
//izlude_in,172,116,0	warp	iz06-1	3,2,izlude_in,172,94
//izlude_in,172,139,0	warp	iz07	3,2,izlude_in,172,161
//izlude_in,172,158,0	warp	iz07-1	3,2,izlude_in,172,136
//izlude_in,43,169,0	warp	w219	2,3,izlude_in,64,169
//izlude_in,65,84,0	warp	iz01-1	5,2,izlude,113,147
//izlude_in,74,158,0	warp	iz04-1	3,2,izlude,52,136
//izlude_in,87,169,0	warp	iz05-1	2,3,izlude_in,111,169
//izlude,149,39,0	warp	izair1	1,1,izlude,182,56
//izlude,176,56,0	warp	lizair2	1,1,izlude,145,40

iz_ac02,194,44,0	warp	#to_swordmanroom	2,2,iz_ac02,80,48
iz_ac02_a,194,44,0	warp	#to_swordmanroom_a	2,2,iz_ac02_a,80,48
iz_ac02_b,194,44,0	warp	#to_swordmanroom_b	2,2,iz_ac02_b,80,48
iz_ac02_c,194,44,0	warp	#to_swordmanroom_c	2,2,iz_ac02_c,80,48
iz_ac02_d,194,44,0	warp	#to_swordmanroom_d	2,2,iz_ac02_d,80,48
//= Swordsman Hallway Return ====================================
iz_ac02,83,48,0	warp	#from_sword_toac02	2,2,iz_ac02,197,44
iz_ac02_a,83,48,0	warp	#from_sword_toac02_a	2,2,iz_ac02_a,197,44
iz_ac02_b,83,48,0	warp	#from_sword_toac02_b	2,2,iz_ac02_b,197,44
iz_ac02_c,83,48,0	warp	#from_sword_toac02_c	2,2,iz_ac02_c,197,44
iz_ac02_d,83,48,0	warp	#from_sword_toac02_d	2,2,iz_ac02_d,197,44
//= Izlude Academy Floor 2 Helproom ================================= 
iz_ac02,221,44,0	warp	#to_helproom	2,2,iz_ac02,127,48
iz_ac02_a,221,44,0	warp	#to_helproom_a	2,2,iz_ac02_a,127,48
iz_ac02_b,221,44,0	warp	#to_helproom_b	2,2,iz_ac02_b,127,48
iz_ac02_c,221,44,0	warp	#to_helproom_c	2,2,iz_ac02_c,127,48
iz_ac02_d,221,44,0	warp	#to_helproom_d	2,2,iz_ac02_d,127,48
//= Helproom Hallway Return =========================================
iz_ac02,124,48,0	warp	#from_help_toac02	2,2,iz_ac02,218,44
iz_ac02_a,124,48,0	warp	#from_help_toac02_a	2,2,iz_ac02_a,218,44
iz_ac02_b,124,48,0	warp	#from_help_toac02_b	2,2,iz_ac02_b,218,44
iz_ac02_c,124,48,0	warp	#from_help_toac02_c	2,2,iz_ac02_c,218,44
iz_ac02_d,124,48,0	warp	#from_help_toac02_d	2,2,iz_ac02_d,218,44
//= Izlude Academy Floor 2 Taekwon ============================
iz_ac02,194,60,0	warp	#to_taekwonroom	2,2,iz_ac02,80,77
iz_ac02_a,194,60,0	warp	#to_taekwonroom_a	2,2,iz_ac02_a,80,77
iz_ac02_b,194,60,0	warp	#to_taekwonroom_b	2,2,iz_ac02_b,80,77
iz_ac02_c,194,60,0	warp	#to_taekwonroom_c	2,2,iz_ac02_c,80,77
iz_ac02_d,194,60,0	warp	#to_taekwonroom_d	2,2,iz_ac02_d,80,77
//= Taekwon Hallway Return ======================================
iz_ac02,83,77,0	warp	#from_taek_toac02	2,2,iz_ac02,197,60
iz_ac02_a,83,77,0	warp	#from_taek_toac02_a	2,2,iz_ac02_a,197,60
iz_ac02_b,83,77,0	warp	#from_taek_toac02_b	2,2,iz_ac02_b,197,60
iz_ac02_c,83,77,0	warp	#from_taek_toac02_c	2,2,iz_ac02_c,197,60
iz_ac02_d,83,77,0	warp	#from_taek_toac02_d	2,2,iz_ac02_d,197,60
//= Izlude Academy Floor 2 Gunslinger ===========================
iz_ac02,221,60,0	warp	#to_gunslingerroom	2,2,iz_ac02,127,78
iz_ac02_a,221,60,0	warp	#to_gunslingerroom_a	2,2,iz_ac02_a,127,78
iz_ac02_b,221,60,0	warp	#to_gunslingerroom_b	2,2,iz_ac02_b,127,78
iz_ac02_c,221,60,0	warp	#to_gunslingerroom_c	2,2,iz_ac02_c,127,78
iz_ac02_d,221,60,0	warp	#to_gunslingerroom_d	2,2,iz_ac02_d,127,78
//= Gunslinger Hallway Return ===================================
iz_ac02,124,78,0	warp	#from_guns_toac02	2,2,iz_ac02,218,60
iz_ac02_a,124,78,0	warp	#from_guns_toac02_a	2,2,iz_ac02_a,218,60
iz_ac02_b,124,78,0	warp	#from_guns_toac02_b	2,2,iz_ac02_b,218,60
iz_ac02_c,124,78,0	warp	#from_guns_toac02_c	2,2,iz_ac02_c,218,60
iz_ac02_d,124,78,0	warp	#from_guns_toac02_d	2,2,iz_ac02_d,218,60
//= Izlude Academy Floor 2 Archer ===============================
iz_ac02,194,76,0	warp	#to_archerroom	2,2,iz_ac02,80,108
iz_ac02_a,194,76,0	warp	#to_archerroom_a	2,2,iz_ac02_a,80,108
iz_ac02_b,194,76,0	warp	#to_archerroom_b	2,2,iz_ac02_b,80,108
iz_ac02_c,194,76,0	warp	#to_archerroom_c	2,2,iz_ac02_c,80,108
iz_ac02_d,194,76,0	warp	#to_archerroom_d	2,2,iz_ac02_d,80,108
//= Archer Hallway Return =======================================
iz_ac02,83,108,0	warp	#from_archer_toac02	2,2,iz_ac02,197,76
iz_ac02_a,83,108,0	warp	#from_archer_toac02_a	2,2,iz_ac02_a,197,76
iz_ac02_b,83,108,0	warp	#from_archer_toac02_b	2,2,iz_ac02_b,197,76
iz_ac02_c,83,108,0	warp	#from_archer_toac02_c	2,2,iz_ac02_c,197,76
iz_ac02_d,83,108,0	warp	#from_archer_toac02_d	2,2,iz_ac02_d,197,76
//= Izlude Academy Floor 2 Mage ================================
iz_ac02,221,76,0	warp	#to_mageroom	2,2,iz_ac02,127,108
iz_ac02_a,221,76,0	warp	#to_mageroom_a	2,2,iz_ac02_a,127,108
iz_ac02_b,221,76,0	warp	#to_mageroom_b	2,2,iz_ac02_b,127,108
iz_ac02_c,221,76,0	warp	#to_mageroom_c	2,2,iz_ac02_c,127,108
iz_ac02_d,221,76,0	warp	#to_mageroom_d	2,2,iz_ac02_d,127,108
//= Mage Hallway Return =========================================
iz_ac02,124,108,0	warp	#from_mage_toac02	2,2,iz_ac02,218,76
iz_ac02_a,124,108,0	warp	#from_mage_toac02_a	2,2,iz_ac02_a,218,76
iz_ac02_b,124,108,0	warp	#from_mage_toac02_b	2,2,iz_ac02_b,218,76
iz_ac02_c,124,108,0	warp	#from_mage_toac02_c	2,2,iz_ac02_c,218,76
iz_ac02_d,124,108,0	warp	#from_mage_toac02_d	2,2,iz_ac02_d,218,76
//= Izlude Academy Floor 2 Thief =============================
iz_ac02,194,92,0	warp	#to_thiefroom	2,2,iz_ac02,80,138
iz_ac02_a,194,92,0	warp	#to_thiefroom_a	2,2,iz_ac02_a,80,138
iz_ac02_b,194,92,0	warp	#to_thiefroom_b	2,2,iz_ac02_b,80,138
iz_ac02_c,194,92,0	warp	#to_thiefroom_c	2,2,iz_ac02_c,80,138
iz_ac02_d,194,92,0	warp	#to_thiefroom_d	2,2,iz_ac02_d,80,138
//=Thief Hallway Return ======================================
iz_ac02,83,138,0	warp	#from_thief_toac02	2,2,iz_ac02,197,92
iz_ac02_a,83,138,0	warp	#from_thief_toac02_a	2,2,iz_ac02_a,197,92
iz_ac02_b,83,138,0	warp	#from_thief_toac02_b	2,2,iz_ac02_b,197,92
iz_ac02_c,83,138,0	warp	#from_thief_toac02_c	2,2,iz_ac02_c,197,92
iz_ac02_d,83,138,0	warp	#from_thief_toac02_d	2,2,iz_ac02_d,197,92
//= Izlude Academy Floor 2 Ninja ================================
iz_ac02,221,92,0	warp	#to_ninjaroom	2,2,iz_ac02,127,137
iz_ac02_a,221,92,0	warp	#to_ninjaroom_a	2,2,iz_ac02_a,127,137
iz_ac02_b,221,92,0	warp	#to_ninjaroom_b	2,2,iz_ac02_b,127,137
iz_ac02_c,221,92,0	warp	#to_ninjaroom_c	2,2,iz_ac02_c,127,137
iz_ac02_d,221,92,0	warp	#to_ninjaroom_d	2,2,iz_ac02_d,127,137
//= Ninja Hallway Return ========================================
iz_ac02,124,137,0	warp	#from_ninja_toac02	2,2,iz_ac02,218,92
iz_ac02_a,124,137,0	warp	#from_ninja_toac02_a	2,2,iz_ac02_a,218,92
iz_ac02_b,124,137,0	warp	#from_ninja_toac02_b	2,2,iz_ac02_b,218,92
iz_ac02_c,124,137,0	warp	#from_ninja_toac02_c	2,2,iz_ac02_c,218,92
iz_ac02_d,124,137,0	warp	#from_ninja_toac02_d	2,2,iz_ac02_d,218,92
//= Izlude Academy Floor 2 Merchant =============================
iz_ac02,194,108,0	warp	#to_merchantroom	2,2,iz_ac02,80,168
iz_ac02_a,194,108,0	warp	#to_merchantroom_a	2,2,iz_ac02_a,80,168
iz_ac02_b,194,108,0	warp	#to_merchantroom_b	2,2,iz_ac02_b,80,168
iz_ac02_c,194,108,0	warp	#to_merchantroom_c	2,2,iz_ac02_c,80,168
iz_ac02_d,194,108,0	warp	#to_merchantroom_d	2,2,iz_ac02_d,80,168
//= Merchant Hallway Return =====================================
iz_ac02,83,168,0	warp	#from_merch_toac02	2,2,iz_ac02,197,108
iz_ac02_a,83,168,0	warp	#from_merch_toac02_a	2,2,iz_ac02_a,197,108
iz_ac02_b,83,168,0	warp	#from_merch_toac02_b	2,2,iz_ac02_b,197,108
iz_ac02_c,83,168,0	warp	#from_merch_toac02_c	2,2,iz_ac02_c,197,108
iz_ac02_d,83,168,0	warp	#from_merch_toac02_d	2,2,iz_ac02_d,197,108
//= Izlude Academy Floor 2 Acolyte  =============================
iz_ac02,221,108,0	warp	#to_acolyteroom	2,2,iz_ac02,127,168
iz_ac02_a,221,108,0	warp	#to_acolyteroom_a	2,2,iz_ac02_a,127,168
iz_ac02_b,221,108,0	warp	#to_acolyteroom_b	2,2,iz_ac02_b,127,168
iz_ac02_c,221,108,0	warp	#to_acolyteroom_c	2,2,iz_ac02_c,127,168
iz_ac02_d,221,108,0	warp	#to_acolyteroom_d	2,2,iz_ac02_d,127,168
//= Acolyte Hallway Return ======================================
iz_ac02,124,168,0	warp	#from_aco_toac02	2,2,iz_ac02,218,108
iz_ac02_a,124,168,0	warp	#from_aco_toac02_a	2,2,iz_ac02_a,218,108
iz_ac02_b,124,168,0	warp	#from_aco_toac02_b	2,2,iz_ac02_b,218,108
iz_ac02_c,124,168,0	warp	#from_aco_toac02_c	2,2,iz_ac02_c,218,108
iz_ac02_d,124,168,0	warp	#from_aco_toac02_d	2,2,iz_ac02_d,218,108
//= Izlude Academy Floor 2 Principal's Room ============================
iz_ac02,208,121,0	warp	#to_principalroom	2,2,iz_ac02,104,187
iz_ac02_a,208,121,0	warp	#to_principalroom_a	2,2,iz_ac02_a,104,187
iz_ac02_b,208,121,0	warp	#to_principalroom_b	2,2,iz_ac02_b,104,187
iz_ac02_c,208,121,0	warp	#to_principalroom_c	2,2,iz_ac02_c,104,187
iz_ac02_d,208,121,0	warp	#to_principalroom_d	2,2,iz_ac02_d,104,187
//= Principal's Room Hallway Return ====================================
iz_ac02,104,184,0	warp	#from_principal_toac02	2,2,iz_ac02,208,118
iz_ac02_a,104,184,0	warp	#from_principal_toac02_a	2,2,iz_ac02_a,208,118
iz_ac02_b,104,184,0	warp	#from_principal_toac02_b	2,2,iz_ac02_b,208,118
iz_ac02_c,104,184,0	warp	#from_principal_toac02_c	2,2,iz_ac02_c,208,118
iz_ac02_d,104,184,0	warp	#from_principal_toac02_d	2,2,iz_ac02_d,208,118
